Core,Workstream,Audiences ,Learning categories / Playbook Chapter Title,Asset Name,Description ,Asset type (drop-down),Asset Format,Staging Location,Future / Permenant Storage Location.,Dissemination Method (define if linked or described in playbook)
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Community Testing and SARS-CoV-2 Rates for Latinxs in Baltimore (English),Research Brief (English): Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/9z6xuwem5hrbs2vw36e2jy4s54ier8zp,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Community Testing and SARS-CoV-2 Rates for Latinxs in Baltimore (Spanish),Research Brief (Spanish): Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/dkm41znce1xerd2rbv1jusiacpvut95m,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Best Practices for Conducting Community Engaged Research,CoNNECT to Achieve Equality: COVID-19 Vaccination Barriers Focus Group,"Connecting our Neighborhoods Need for Enhanced and Coordinated Testing to Achieve Equity (CoNNECT to Achieve Equality) at The University of Arkansas for Medical Sciences (UAMS) conducted community focus groups and worked with health care providers and community-based organizations to implement several changes to help improve COVID-19 vaccine uptake. They developed this flyer to report the results of these focus groups, as well as changes in policy and practice that have been implemented, back to the participants and the community. Offers guidance around barriers to vaccination from participants in a focus group",4) Recommendation or guidance,Flyer,https://duke.box.com/s/jsr3ayxo6txrgkxhr0f86j5hv30o5vir,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,"Coronavirus Testing Disparities Associated with Community Level Deprivation, Racial Inequalities, and Food Insecurity in West Virginia (English)",Research Brief (English): This observational ecological study aimed to identify factors that may affect COVID-19 testing and positivity rates in rural communities in West Virginia. Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/4bv35rtkl26xnpso9aqs393w94xrndf2,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,"Coronavirus Testing Disparities Associated with Community Level Deprivation, Racial Inequalities, and Food Insecurity in West Virginia (Spanish)",Research Brief (Spanish): This observational ecological study aimed to identify factors that may affect COVID-19 testing and positivity rates in rural communities in West Virginia. Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/lh5p1ylopyy3udixvmerfrskg89p68f1,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,COVID-19 Vaccine Hesitancy in Delaware's Underserved Communities (English),"Research Brief (English): This study from Delaware State University in collaboration with Sussex County Health Coalition and the Hope Coalition investigated (1) the prevalence of COVID-19 vaccine uptake and COVID-19 vaccine hesitancy in Delaware's underserved communities; and (2) factors - demographic, socioeconomic characteristics, &amp; COVID-19 related behaviors - associated with vaccine hesitancy. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/qpny5vftkgte0bfgry5pip8epjrslwik,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,COVID-19 Vaccine Hesitancy in Delaware's Underserved Communities (Spanish),"Research Brief (Spanish): This study from Delaware State University in collaboration with Sussex County Health Coalition and the Hope Coalition investigated (1) the prevalence of COVID-19 vaccine uptake and COVID-19 vaccine hesitancy in Delaware's underserved communities; and (2) factors - demographic, socioeconomic characteristics, &amp; COVID-19 related behaviors - associated with vaccine hesitancy.Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/boug1793k470ojyuyyaxvunwu8cyvm6s,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,Academic Audience,Best Practices for Conducting Community Engaged Research,Do No Harm Guide: Applying Equity Awareness in Data Visualization,"This guide offers a set of guidelines for presenting data through a DEI lens. The Urban Institute presents ways for researchers and data analysts to represent data in ways that show empathy towards the real people represented, reflect lived experience, consider who is not represented, build diverse and inclusive data communication teams, and more. Guidance will apply to future projects . This is a trusted external resource selected for the Engagement Resource Center not created with RADx-UP funds.",4) Recommendation or guidance,PDF Document,https://duke.box.com/s/wkxrfl91io0sbyedtyz25fti5xsvthpf,https://www.urban.org/sites/default/files/publication/104296/do-no-harm-guide.pdf,Playbook (linked) 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Earned Media: Building Awareness of a Study,"The University of Guam team generated earned media in an article in their local newspaper, 'Pacific Daily News,' to spread awareness of the study's purpose and contributions to Pacific Islander knowledge of COVID-19. Offers an example of a recruitment strategy for a COVID-19 study",5) Reference/tool,Website,N/A,https://www.guampdn.com/news/participants-sought-for-uog-covid-19-study/article_f4ab20bc-7b3c-11ec-bdb9-db6a5825da34.html,Playbook (referenced) 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Effectiveness of a COVID-19 testing outreach intervention for Latinx communities: A cluster randomized trial (English),Research Brief (English): Researchers at the University of Oregon studied if tailoring community outreach to the Latinx community could increase the number of Latinx individuals who tested for SARS-CoV-2. Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/v47vt9xhqgom06p4i0e4yqn7oi571uwd,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Experiences of Black and Latinx health care workers in support roles during the COVID-19 pandemic: A qualitative study (English),"Research Brief (English): In 2020, more people worked in health care support roles than in all health care practitioner and technician jobs (e.g. doctors, nurses, EMTs, lab techs). The findings of this study highlight the critical need for employers to provide targeted programs that provide support, promote healing, reduce burnout, and enhance retention. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/tn5w1747toe1ie91xzu0m3e1t9sfetfy,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Experiences of Black and Latinx health care workers in support roles during the COVID-19 pandemic: A qualitative study (Spanish),"Research Brief (Spanish): In 2020, more people worked in health care support roles than in all health care practitioner and technician jobs (e.g. doctors, nurses, EMTs, lab techs). The findings of this study highlight the critical need for employers to provide targeted programs that provide support, promote healing, reduce burnout, and enhance retention. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/f0b0iiipuzueo0hwinc92ohubtullo1f,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,CuÍdate Texas! : Tailored COVID-19 Communication,"Guides study participants in Rio Grande Valley, Houston, and Northeast Texas through a conversation between a mother and son about the importance of getting tested for COVID-19 after exposure, using regional specifics in names and language. Good example of culturally tailored public health communications",6) Other,Flyer,https://duke.box.com/s/scexfbdkffmmlwpb77zkxb1a39ffh3dm,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Image Bank Consent Forms (Minor/Adults),Consent forms (minor and adult) given to participants in the ERC Image Bank project. Consent forms given to participants in the ERC Image Bank project. Provided in 6 languages for adults and minors. Useful for image bank replication. Provided in 6 languages. Useful for CCS replication.,3) Template,Word Document,https://duke.box.com/s/ojw0rzdv9dnsjsxa1bqrsztgsimxswh9,NIH RADx Data Hub,Playbook (referenced)
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Image Bank Photo Submission Guidelines,Set of guidelines for RADx-UP affiliates on submitting their own photos to the Image Bank. Useful for Image Bank replication,4) Recommendation or guidance,Word Document,https://duke.box.com/s/047f3z6ldvh6n7s8gigava1ouq3s71w2,NIH RADx Data Hub,Playbook (referenced)
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Image Bank Photographer Info Sheet,Information sheet given to photographers contracted for the ERC Image Bank to guide them through the process. Useful for Image Bank replication,3) Template,Word Document,https://duke.box.com/s/kfmuif6a5448r8nnrbb3rhjze6hbzuqi,NIH RADx Data Hub,Playbook (referenced)
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Image Bank Scope of Work,Scope of Work for the creation of the ERC Image Bank. Useful for Image Bank replication,3) Template,Word Document,https://duke.box.com/s/o5adrn1wd5yb8zjiy712bp9z48xabzla,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Incident SARS-CoV-2 Infection among mRNA-Vaccinated and Unvaccinated Nursing Home Residents (English),Research Brief (English): Researchers compared resident vaccination status to the rate of positive COVID-19 tests at different time points. The rate of COVID-19 infection decreased over time for both vaccinated and unvaccinated residents. COVID-19 cases among residents who received 2 doses decreased sooner than cases among residents who received at least one dose or were unvaccinated. Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/ir8qe7hrdbojp3lfdxdxy0p1sx432m7w,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Incident SARS-CoV-2 Infection among mRNA-Vaccinated and Unvaccinated Nursing Home Residents (Spanish),Research Brief (Spanish): Researchers compared resident vaccination status to the rate of positive COVID-19 tests at different time points. The rate of COVID-19 infection decreased over time for both vaccinated and unvaccinated residents. COVID-19 cases among residents who received 2 doses decreased sooner than cases among residents who received at least one dose or were unvaccinated. Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/7yulz1m4pmoo3yjxj8rg8g3jdbnpjavw,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Parent/guardian intentions to vaccinate children against COVID-19 in the United States (English),"Research Brief (English): The COVID-19 vaccine is available for many children under age 17. Most child vaccination requires parental/guardian consent. Therefore, researchers at the University of Arkansas for Medical Sciences studied whether parents planned to vaccinate their children and what factors may affect that decision. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/kqes3pos5maf77ka6wknubnj8m75uw76,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Parent/guardian intentions to vaccinate children against COVID-19 in the United States (Spanish),"Research Brief (Spanish): The COVID-19 vaccine is available for many children under age 17. Most child vaccination requires parental/guardian consent. Therefore, researchers at the University of Arkansas for Medical Sciences studied whether parents planned to vaccinate their children and what factors may affect that decision. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/zs1g0d9l8mie36uvfdna8wd06c42mftj,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Best Practices for Conducting Community Engaged Research,CTSA Principles of Community Engagement (Spanish),"Principles of Community Engagement (Second Edition) provides public health professionals, health care providers, researchers, and community-based leaders and organizations with both a science base and practical guidance for engaging partners in projects that may affect them. The principles of engagement can be used by people in a range of roles, from the program funder who needs to know how to support community engagement to the researcher or community leader who needs hands-on, practical information on how to mobilize the members of a community to partner in research initiatives. In addition, this primer provides tools for those who are leading efforts to improve population health through community engagement. Report on best practices in community engagement from the CDC and co-authors. This is a trusted external resource selected for the Engagement Resource Center not created with RADx-UP funds.",5) Reference/tool,PDF Document,N/A,https://stacks.cdc.gov/view/cdc/26033,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,"Protecting the Vulnerable, Informing the Future","Research Brief (English): NeURoscience Newsletter, which highlights critical research at the University of Rochester dedicated to understanding the human brain, told 'how an unlikely team kept students with severe and complex disabilities safe and in school' featuring the RADx-UP collaboration between the University of Rochester's Intellectual and Developmental Disabilities Research Centers (IDDRC) and the Mary Cariola Center. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://www.urmc.rochester.edu/news/publications/neuroscience/protecting-the-vulnerable-informing-the-future,https://www.urmc.rochester.edu/news/publications/neuroscience/protecting-the-vulnerable-informing-the-future, 
Community Engagement Core,Engagement Resource Center,Academic & Community Audience,Communications and Dissemination ,Image Bank Photos (Non-Identifiable); ~40,"In collaboration with a selection of project teams and community partners, the ERC created a repository of images of projects, community partners, and community members engaging in RADx-UP work in their local settings. The repository includes images in both clinical and community settings taken by local photographers to be used by anyone within the consortium for RADx-UP materials. While the subjects of the photos may not appear in materials that are not RADx-UP specific, this folder includes a subset of these images with no people in them, which may be used beyond the length of RADx-UP.",6) Other,Image File(s),https://duke.box.com/s/lya7agbrdofwnl1xxr6j2abb84kofa9b,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,SARS-CoV-2 Screening Testing in Schools for Children with Intellectual and Developmental Disabilities (English),"Research Brief (English): Commitment to masking, social distancing, reduced class size, and cleaning reduce in-school spread of COVID-19 in schools with children with intellectual and developmental disabilities. See what else worked for the Special School District in Missouri. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/lmwux16ccuh4q396djssb2w9rd2tl2jn,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,SARS-CoV-2 Screening Testing in Schools for Children with Intellectual and Developmental Disabilities (Spanish),"Research Brief (Spanish): Commitment to masking, social distancing, reduced class size, and cleaning reduce in-school spread of COVID-19 in schools with children with intellectual and developmental disabilities. See what else worked for the Special School District in Missouri. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/6aepdatzwh98y1z9svtx7ggp239403q7,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Policy and Practice ,Scaling Up Equitable Access to Community-Based COVID-19 Testing: Strategies from the RADx-UP Initiative,"This policy paper from Duke-Margolis Center for Health Policy, UNC Center for Health Equity Research, and Duke Clinical Research Institute offers a timely perspective into the policy strategies necessary to close equity gaps in COVID-19 testing based on experiences from RADx-UP projects. Good example of a policy paper based on public health research. ",6) Other,PDF Document,https://duke.box.com/s/gg96sppy02wtj7flxh0eoz1lvhy9genw,https://healthpolicy.duke.edu/publications/scaling-equitable-access-community-based-covid-19-testing-strategies-radx-initiative,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Academic Audience,Policy and Practice ,Scaling Up Equitable Access to Community-Based COVID-19 Testing: Strategies from the RADx-UP Initiative - Case Studies,"Download and share case studies from the larger policy paper, Scaling Up Equitable Access to Community-Based COVID-19 Testing: Strategies from the RADx-UP Initiative (explore here). These case studies identified strategies for community-based COVID-19 testing based on real-world experiences from RADx-UP projects. Community-based models that have promoted COVID-19 testing can be adapted more broadly to ensure individuals have access to health care resources that they trust and understand. These case examples illustrate the needed shift to support and finance community-based strategies, which have the greatest potential to sustainably reduce health disparities and bridge health equity gaps. Good example of case studies to accompany larger policy paper",6) Other,PDF Document,https://duke.box.com/s/csrt3ad6kioinuxlibt5g3j7zwta0jvv,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,The Benefits of Community Engaged Research in Creating Place-Based Responses to COVID-19 (English),"Research Brief (Engish): COVID-19 has unequally impacted poor people of color, mainly because of where Black and Brown Americans live. Delaware State University researchers went to underserved communities to investigate the impact of and response to COVID-19. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/zav91trtfwub3347nndjvhqepvsyezvm,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,The Benefits of Community Engaged Research in Creating Place-Based Responses to COVID-19 (Spanish),"Research Brief (Spanish): COVID-19 has unequally impacted poor people of color, mainly because of where Black and Brown Americans live. Delaware State University researchers went to underserved communities to investigate the impact of and response to COVID-19. Lay language research brief for RADx-UP published research",6) Other,PDF Document,https://duke.box.com/s/k92poljcdlw6fbn0lobk13dd63eyz6mh,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Data Collection and Storage ,Tips and Tools for Remote Qualitative Data Collection ,"A guide on best practices for remote qualitative data collection, produced by the North Carolina Translational and Clinical Sciences Institute (NC TraCS). Contribution to best practices for remote data collection with communities. This is a trusted external resource selected for the Engagement Resource Center not created with RADx-UP funds.",5) Reference/tool,PDF Document,https://duke.box.com/s/slu6hpgun5gpewv0qv2h9v10pwm37na8,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Trusted Sources of COVID-19 Vaccine Information among Hesitant Adopters in the United States (English),This is a research brief about a study out of the University of Arkansas Medical Center in collaboration with the Northwest Arkansas Council. Identifying trusted sources of information can inform future public health messaging campaigns aimed at increasing vaccine adoption. Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/d06r7n0hqhh8zbyynu8mrkh1s99qv4mr,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Trusted Sources of COVID-19 Vaccine Information among Hesitant Adopters in the United States (Marshallese),This is a research brief about a study out of the University of Arkansas Medical Center in collaboration with the Northwest Arkansas Council. Identifying trusted sources of information can inform future public health messaging campaigns aimed at increasing vaccine adoption. Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/lhjpdkdxoxsb8hb0jkaw5bi5rvr5xjrp,NIH RADx Data Hub, 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Trusted Sources of COVID-19 Vaccine Information among Hesitant Adopters in the United States (Spanish),This is a research brief about a study out of the University of Arkansas Medical Center in collaboration with the Northwest Arkansas Council. Identifying trusted sources of information can inform future public health messaging campaigns aimed at increasing vaccine adoption. Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/pxo0ryu01z48obf318w6acp22dt9f18r,NIH RADx Data Hub, 
Services,Communications,Academic Audience,Policy and Practice ,Part 3: Data,One of seven in a video series exploring the components of the health equity policy framework,5) Reference/tool,Video,https://duke.box.com/s/3ja6qkirusvl6ft7uc61st5t36nvk28d,https://youtu.be/jymGikRLGOA,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Community Audience,Data Collection and Storage ,2-1-1 Counts,"2-1-1 Counts is the first tool to provide real-time, searchable and visual presentations of data from 2-1-1 call centers across the nation. 2-1-1 Counts was created by the Health Communication Research Laboratory at Washington University in St. Louis. Project-created resource that can serve as a good example for organizing and sharing public health data.",5) Reference/tool,Website / Blog,https://211counts.org/home/index,https://youtu.be/D447hd1_iVo,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,Addressing COVID-19 Testing Inequities Among Underserved Populations in Massachusetts (MA) – Lay Research Summary,A lay language summary of the research findings published in the journal Frontiers in Public Health that includes a QR code to the full manuscript. Good example of a lay summary written by a project rather than the CDCC,6) Other,PDF Document,https://duke.box.com/s/qgmtn83ijlibpbqhsbq7zdufqpjwkq4i,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,Community Audience,Policy and Practice ,"Community-Based COVID-19 Testing: Barriers, Solutions, and Next Steps (English)","This community-facing summary accompanies the policy paper, Scaling Up Equitable Access to Community-Based COVID-19 Testing: Strategies from the RADx-UP Initiative.  Learn more about the barriers, solutions, and next steps to scaling community COVID-19 testing. Example of a community-facing report to accompany a policy paper.",6) Other,PDF Document,https://duke.box.com/s/l6fgxoxp1qjs7dw8jjlrasv4e4rt1uc3,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,Community Audience,Policy and Practice ,"Community-Based COVID-19 Testing: Barriers, Solutions, and Next Steps (Spanish)","This community-facing summary accompanies the policy paper, Scaling Up Equitable Access to Community-Based COVID-19 Testing: Strategies from the RADx-UP Initiative.  Learn more about the barriers, solutions, and next steps to scaling community COVID-19 testing. Example of a community-facing report to accompany a policy paper.",6) Other,PDF Document,https://duke.box.com/s/8rrihvs0a5685qqra8mo8w4kz58z89wy,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,COVID-19 Materials Developed for Tribal Use,The Johns Hopkins Center for American Indian Health has developed materials related to COVID-19 for tribes to distribute in partnership with Indian Health Service and with support from the Walmart Foundation. Example of a health resources library for COVID-19 resources specific to Native American communities,6) Other,Website / Blog,https://cih.jhu.edu/knowledge-center/resources/,NIH RADx Data Hub,Playbook (linked) 
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,COVID-19 Vaccination Educational Materials from Southwest Interdisciplinary Research Center at ASU (English),"The Southwest Interdisciplinary Research Center at Arizona State University has created a collection of COVID-19 Vaccination Materials that is continually added to and amended with the latest public health guidelines. The digital drive features social media-friendly graphics, fact sheets, flyers, and more for the public. All educational materials use simple language in both Spanish and English. Examples of educational materials in English and Spanish for the public around COVID-19 vaccination",6) Other,Platform,https://www.dropbox.com/scl/fo/cxgi5retdq3yek0mxl4aw/AICsQ0yi99ql9jxv4WzRj88?rlkey=6ec2darur8o2q77xu8a2axyb3&e=1&dl=0,https://www.dropbox.com/scl/fo/cxgi5retdq3yek0mxl4aw/AICsQ0yi99ql9jxv4WzRj88?rlkey=6ec2darur8o2q77xu8a2axyb3&e=1&dl=0,
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,COVID-19 Vaccination Educational Materials from Southwest Interdisciplinary Research Center at ASU (Spanish),"The Southwest Interdisciplinary Research Center at Arizona State University has created a collection of COVID-19 Vaccination Materials that is continually added to and amended with the latest public health guidelines. The digital drive features social media-friendly graphics, fact sheets, flyers, and more for the public. All educational materials use simple language in both Spanish and English. Examples of educational materials in English and Spanish for the public around COVID-19 vaccination",6) Other,Platform,https://www.dropbox.com/scl/fo/cxgi5retdq3yek0mxl4aw/AICsQ0yi99ql9jxv4WzRj88?rlkey=6ec2darur8o2q77xu8a2axyb3&e=1&dl=0,https://www.dropbox.com/scl/fo/cxgi5retdq3yek0mxl4aw/AICsQ0yi99ql9jxv4WzRj88?rlkey=6ec2darur8o2q77xu8a2axyb3&e=1&dl=0,
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,El Sol: COVID-19 Comic Toolkit,"Through the years, El Sol has engaged and deployed highly trained lay workers as community health workers (CHWs) and promotores de salud. Their website provides tools, trainings, and other resources to aid CHWs and promotores in serving their communities. The comic series illustrates topics related to COVID-19 including vaccination, financial stress, emotional support, and exercise. Materials are available in both English and Spanish. Offers community health worker tools and education related to COVID-19 in English and Spanish",6) Other,Website,N/A,https://www.elsolnec.org/news-and-media/covid-19-response/,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,Embarazo y COVID-19 Pruebas & Vacunas (Spanish),The RADx-UP CDCC created a two-sided flyer in English and Spanish to address the questions and concerns of pregnant people about COVID-19 testing and vaccination. This page is for the Spanish version. Example of a flyer in Spanish about COVID testing and pregnancy,6) Other,Flyer,https://duke.box.com/s/s43hc26eztxv8m3whmfatykixnpsaf03,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Community Audience,Capacity Building and Community Engagement,Hispanic Services Council Social Needs Screening Tool (English/Spanish),"Created by the Hispanic Services Council in Tampa, Florida (a RADx-UP project community partner). It asks study participants 10 questions related to their current unmet needs related to housing, food, utilities, and more. It also provides an opportunity to request resources for assistance and is available in English and Spanish.",5) Reference/tool,PDF Document,https://duke.box.com/s/b8hfyyia1pa968j3pfrk6ye1fs8johc5,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,"Juntos, We Can Stop COVID-19!","Juntos, We Can Stop COVID-19 is a digital communication campaign in English and Spanish to help Latino families take action to slow the spread of coronavirus. The #JuntosStopCovid campaign features Latino culturally relevant, bilingual fact sheets, infographics, and video role model stories. See and share the #JuntosStopCovid campaign in English and Spanish. Example of culturally tailored public health communication materials

Juntos, We Can Stop COVID-19 (Juntos, Podemos detener el COVID-19) es una campaña de comunicación digital en inglés y en español para ayudar a las familias latinas a tomar medidas para evitar la propagación del coronavirus. La campaña #JuntosStopCovid presenta hojas informativas bilingües y de relevancia cultural para los latinos, infografías y relatos de modelos de rol en vídeo. Vea y comparta la campaña #JuntosStopCovid en inglés y español. ",6) Other,Website / Blog,https://salud-america.org/juntos-we-can-stop-covid-19/,NIH RADx Data Hub,Playbook (linked) 
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,Las Pruebas de COVID-19 Siguen Siendo Importantes (FOLLETO),"This flyer speaks to the role of COVID-19 testing as a continued public health measure to keep our communities healthy. Testing helps treat high-risk cases early. Also, it helps us know when to adjust safety precautions, like indoor masking. Testing assists in areas with low vaccination rates. It helps prevent a resurgence and monitor vaccines. Available in English and Spanish. Example of handout about the importance of COVID-19 testing in lay language in Spanish",6) Other,Flyer,https://duke.box.com/s/1mbtwq2wv9ma9u1z7mlcqaxfy4a73kz2,NIH RADx Data Hub,Playbook (linked)
Services,Communications,Academic Audience,Policy and Practice ,Part 4: Communication & Messaging,One of seven in a video series exploring the components of the health equity policy framework,5) Reference/tool,Video,https://duke.box.com/s/k3boqpglczq5nqkqsn746idkxwrcn7le,https://youtu.be/D447hd1_iVo,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,Pregnancy and COVID-19 Testing and Vaccination (English),The RADx-UP CDCC created a two-sided flyer in English and Spanish to address the questions and concerns of pregnant people about COVID-19 testing and vaccination. This page is for the English version. Example of a flyer in English about COVID testing and pregnancy,6) Other,Flyer,https://duke.box.com/s/gf0f5w8pixtw9jzcta36wzxkuyed81eg,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,What to do if You Test Negative for COVID-19,The comic books were delivered to schools in early June in addition to SASEA swag bags for school staff. The books are also available in Spanish. Example of a handout about COVID guidance if testing negative,6) Other,PDF Document,https://duke.box.com/s/nlw8yen0h4fw1to3w2bmdb8aw8rxs2x5,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,What to do if You Test Positive for COVID-19,You've tested positive for COVID-19. Now what? This flyer outlines steps to take to care for yourself and help protect others. Example of a handout about COVID guidance if testing positive,4) Recommendation or guidance,PDF Document,https://duke.box.com/s/e48san6fnaja0a8x2az2mmhu95d6k2o9,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,NIH (Funder) Audience ,Communications and Dissemination ,Redefining Scholarship,This document provides guidance for how to uplift and refer to community-generated knowledge and associated products as equally important to research products created in academic settings. It breaks down the types of products this might include and suggests next steps. Research guidance that will continue to be applicable to future projects ,4) Recommendation or guidance,PDF Document,https://duke.box.com/s/wadkv9rl39cvcakonp0t48qcqohr9ks7,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,Academic Audience ,Best Practices for Conducting Community Engaged Research,Research Engagement Survey Tool (REST),"REST is a survey measure to assess the level of partner engagement in research studies, assessing on two scales: quantity (how much) and quality (how well).  Below are documents that describe these measures and list the items and response scales:

Comprehensive - 32 item version
Condensed - 9 item version
For more information, visit the REST webpage, which is updated in real time with resources as they become available. The REST development and validation was supported through a Patient-Centered Outcomes Research Institute (PCORI) Award (ME-1511-33027).",5) Reference/tool,Website / Blog,https://publichealth.nyu.edu/w/casjph/rest,https://publichealth.nyu.edu/w/casjph/rest,
Community Engagement Core,Engagement Resource Center,Academic Audience ,Best Practices for Conducting Community Engaged Research,RADx-UP Community Engagement Brief,"The RADx-UP team has published a brief summarizing its community-engaged research practices from internal coordination and building trust and relationships with community partners, to creating communities of practice. The intent is to provide a guide for successful community-engaged interventions to reduce illness and raise rates of COVID-19 testing and vaccination within underserved communities.",4) Recommendation or guidance,PDF Document,https://duke.box.com/s/6mccztqsw1ckkj1gevdee82z5zlr9j5e,NIH RADx Data Hub,Playbook (appendix) 
